Incident Id,Received,IncidentType,ProductType,NotifierType,OriginCountry,IncidentSource
I-005-051,19/01/23,Food Additives & Flavourings,Confectionery,Industry,United Kingdom,Use of Unauthorised Ingredient
I-005-052,19/01/23,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,Industry,United Kingdom,Unknown
I-005-053,19/01/23,ALLERGEN: Milk,Cereals & Bakery Products,Local Authority,Romania,Labelling Packaging Error
I-005-054,19/01/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-055,19/01/23,Food Additives & Flavourings,Other Food Product / Mixed,RASFF,United States,Unknown
I-005-056,20/01/23,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Illegal Import/Export
I-005-057,20/01/23,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Port Health Authority (PHA),United Kingdom,Unknown
I-005-058,20/01/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Industry,Poland,Unknown
I-005-059,20/01/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Public Analyst / Laboratory,Poland,Microbiological Contamination
I-005-060,20/01/23,Poor or Insufficient Controls,Dietetic Foods / Food Supplements / Fortified Foods,Local Authority,United Kingdom,Unknown
I-005-061,20/01/23,Pathogenic Micro-Organisms,Other Food Product / Mixed,RASFF,France,Microbiological Contamination
I-005-062,23/01/23,Pesticide Residues,Food Additives & Flavourings,Industry,United Kingdom,Pesticides
I-005-063,23/01/23,ALLERGEN: Milk,Confectionery,Industry,United Kingdom,Production Fault
I-005-064,23/01/23,Poor or Insufficient Controls,Confectionery,FSA England,United States,Use of Unauthorised Ingredient
I-005-065,23/01/23,Food Additives & Flavourings,Confectionery,Local Authority,United States,Use of Unauthorised Ingredient
I-005-066,23/01/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Industry,Ukraine,Microbiological Contamination
I-005-067,23/01/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,EU Member States,Ireland,Microbiological Contamination
I-005-068,23/01/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Microbiological Contamination
I-005-069,24/01/23,Pathogenic Micro-Organisms,Other Food Product / Mixed,Industry,France,Microbiological Contamination
I-005-070,23/01/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Microbiological Contamination
I-005-071,23/01/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Microbiological Contamination
I-005-072,23/01/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Microbiological Contamination
I-005-073,23/01/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Microbiological Contamination
I-005-074,24/01/23,Novel Food,Fruits & Vegetables,FSA England,Spain,Use of Unauthorised Ingredient
I-005-075,24/01/23,Pesticide Residues,Fruits & Vegetables,Health & Safety Executive,Thailand,Pesticides
I-005-076,24/01/23,Pesticide Residues,Fruits & Vegetables,Health & Safety Executive,United Kingdom,Pesticides
I-005-077,24/01/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Animal & Plant Health Agency (APHA),,Unknown
I-005-078,24/01/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Animal & Plant Health Agency (APHA),United Kingdom,Unknown
I-005-079,24/01/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,Austria,Use of Unauthorised Ingredient
I-005-080,25/01/23,Chemical Contamination (other),Fats & Oils,Local Authority,Ireland,Natural Chemical Contamination
I-005-081,17/01/23,Pathogenic Micro-Organisms,N/A,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-082,25/01/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Microbiological Contamination
I-005-083,25/01/23,Migration,Food Contact Materials,RASFF,China,Migration of Chemicals
I-005-084,25/01/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-085,25/01/23,Migration,Cereals & Bakery Products,RASFF,Poland,Migration of Chemicals
I-005-086,25/01/23,Chemical Contamination (other),Nuts / Nut Products / Seeds,RASFF,Poland,Natural Chemical Contamination
I-005-088,25/01/23,Composition,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United States,Use of Unauthorised Ingredient
I-005-089,26/01/23,Foreign Bodies,Meat & Meat Products (other than poultry),Food Standards Scotland (FSS),United Kingdom,Human Error
I-005-090,26/01/23,ALLERGEN: Cereals containing gluten,Other Food Product / Mixed,Local Authority,China,Unknown
I-005-092,26/01/23,Food Additives & Flavourings,Food Additives & Flavourings,Local Authority,Taiwan,Use of Unauthorised Ingredient
I-005-093,26/01/23,Residues of Veterinary Medicinal Products,Milk & Milk Products,"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Veterinary Medicine
I-005-095,26/01/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United Kingdom,Labelling Packaging Error
I-005-096,26/01/23,Pathogenic Micro-Organisms,Compound Feeds,Local Authority,United Kingdom,Microbiological Contamination
I-005-097,26/01/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Unauthorised Premises/Process
I-005-098,26/01/23,Food Additives & Flavourings,Food Additives & Flavourings,RASFF,France,Use of Unauthorised Ingredient
I-005-099,26/01/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-100,27/01/23,Residues of Veterinary Medicinal Products,Feed Materials,Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-101,27/01/23,Residues of Veterinary Medicinal Products,Feed Materials,Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-102,27/01/23,Residues of Veterinary Medicinal Products,Feed Materials,Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-103,27/01/23,Residues of Veterinary Medicinal Products,Feed Materials,Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-104,27/01/23,ALLERGEN: Nuts,Nuts / Nut Products / Seeds,Industry,Germany,Labelling Packaging Error
I-005-105,27/01/23,Mycotoxins,Nuts / Nut Products / Seeds,Local Authority,Iran,Natural Chemical Contamination
I-005-106,27/01/23,Foreign Bodies,Milk & Milk Products,Industry,United Kingdom,Human Error
I-005-107,27/01/23,Poor or Insufficient Controls,Fish & Fish Products,Local Authority,,Unauthorised Premises/Process
I-005-108,27/01/23,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Industry,United Kingdom,Labelling Packaging Error
I-005-109,27/01/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Local Authority,United Kingdom,Microbiological Contamination
I-005-110,27/01/23,Labelling Absent / Incomplete / Incorrect,Non-Alcoholic Beverages,RASFF,United States,Unauthorised Premises/Process
I-005-111,27/01/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Veterinary Medicine
I-005-112,30/01/23,ALLERGEN: Mustard,Crustaceans & Products Thereof,Industry,United Kingdom,Labelling Packaging Error
I-005-114,30/01/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Industry,United Kingdom,Microbiological Contamination
I-005-115,30/01/23,ALLERGEN: Fish,Soups / Broths / Sauces & Condiments,Industry,United Kingdom,Labelling Packaging Error
I-005-116,31/01/23,Mycotoxins,Nuts / Nut Products / Seeds,Local Authority,Iran,Natural Chemical Contamination
I-005-117,31/01/23,ALLERGEN: Nuts,Cereals & Bakery Products,Industry,United Kingdom,Labelling Packaging Error
I-005-119,31/01/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Unknown
I-005-120,31/01/23,ALLERGEN: Milk,Prepared Dishes & Snacks,Local Authority,Turkey,Production Fault
I-005-121,31/01/23,Labelling Absent / Incomplete / Incorrect,Prepared Dishes & Snacks,Local Authority,Canada,Labelling Packaging Error
I-005-122,31/01/23,Residues of Veterinary Medicinal Products,Poultry Meat & Poultry Meat Products,RASFF,United Kingdom,Veterinary Medicine
I-005-123,01/02/23,Residues of Veterinary Medicinal Products,Fish & Fish Products,Port Health Authority (PHA),Vietnam,Veterinary Medicine
I-005-124,01/02/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Industry,United Kingdom,Use of Unauthorised Ingredient
I-005-125,01/02/23,Pesticide Residues,Fruits & Vegetables,Port Health Authority (PHA),Turkey,Pesticides
I-005-126,01/02/23,Labelling Absent / Incomplete / Incorrect,Cereals & Bakery Products,Local Authority,Bulgaria,Labelling Packaging Error
I-005-127,01/02/23,Food Additives & Flavourings,Food Additives & Flavourings,Food Standards Scotland (FSS),United Kingdom,Unknown
I-005-128,01/02/23,Pesticide Residues,Fruits & Vegetables,RASFF,India,Pesticides
I-005-129,01/02/23,Heavy Metals,Nuts / Nut Products / Seeds,RASFF,Bolivia,Natural Chemical Contamination
I-005-130,01/02/23,Foreign Bodies,Soups / Broths / Sauces & Condiments,General Public,Italy,Unknown
I-005-131,01/02/23,Migration,Food Contact Materials,EU Member States,China,Migration of Chemicals
I-005-132,31/01/23,ALLERGEN: Milk,Ices & Desserts,FSA England,United Kingdom,Unknown
I-005-133,01/01/23,Organoleptic Aspects,Water,General Public,United Kingdom,Natural Chemical Contamination
I-005-134,02/02/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Use of Unauthorised Ingredient
I-005-135,02/02/23,Food Additives & Flavourings,Cereals & Bakery Products,National Food Crime Unit (NFCU),United States,Use of Unauthorised Ingredient
I-005-136,02/02/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Use of Unauthorised Ingredient
I-005-138,03/02/23,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,Public Health England (PHE),United Kingdom,Investigation Ongoing
I-005-139,03/02/23,Chemical Contamination (other),Bivalve Molluscs & Products Thereof,Other,,Spill/Leak
I-005-140,03/02/23,Foreign Bodies,Prepared Dishes & Snacks,National Food Crime Unit (NFCU),United Kingdom,Unknown
I-005-141,03/02/23,Heavy Metals,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-143,06/02/23,Poor or Insufficient Controls,Prepared Dishes & Snacks,Industry,United Kingdom,Fraud
I-005-145,06/02/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Unknown
I-005-146,06/02/23,Poor or Insufficient Controls,Other Food Product / Mixed,General Public,United Kingdom,Unknown
I-005-147,06/02/23,Pesticide Residues,Cereals & Bakery Products,RASFF,India,Pesticides
I-005-149,03/02/23,Composition,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United States,Use of Unauthorised Ingredient
I-005-150,01/02/23,Food Additives & Flavourings,Cereals & Bakery Products,Food Standards Scotland (FSS),United Kingdom,Natural Chemical Contamination
I-005-151,01/02/23,Pathogenic Micro-Organisms,Milk & Milk Products,Food Standards Scotland (FSS),France,Microbiological Contamination
I-005-152,06/02/23,Foreign Bodies,Meat & Meat Products (other than poultry),Local Authority,Ireland,Production Fault
I-005-153,03/02/23,Pesticide Residues,Prepared Dishes & Snacks,Local Authority,China,Pesticides
I-005-155,06/02/23,ALLERGEN: Milk,Milk & Milk Products,RASFF,Italy,Labelling Packaging Error
I-005-156,07/02/23,Food Additives & Flavourings,Confectionery,Local Authority,United States,Use of Unauthorised Ingredient
I-005-157,02/02/23,Labelling Absent / Incomplete / Incorrect,Other Food Product / Mixed,Port Health Authority (PHA),Bulgaria,Illegal Import/Export
I-005-158,07/02/23,Labelling Absent / Incomplete / Incorrect,Alcoholic Beverages,Local Authority,United Kingdom,Fraud
I-005-159,07/02/23,Pathogenic Micro-Organisms,Feed Materials,Port Health Authority (PHA),China,Microbiological Contamination
I-005-160,07/02/23,ALLERGEN: Peanuts,Confectionery,Industry,United States,Labelling Packaging Error
I-005-161,07/02/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Animal & Plant Health Agency (APHA),United Kingdom,Veterinary Medicine
I-005-162,07/02/23,Food Additives & Flavourings,Cereals & Bakery Products,Local Authority,United Kingdom,Unknown
I-005-163,07/02/23,ALLERGEN: Sulphur dioxide / Sulphites,Fruits & Vegetables,Industry,United Kingdom,Labelling Packaging Error
I-005-164,08/02/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Local Authority,Netherlands,Unauthorised Premises/Process
I-005-165,04/02/23,Labelling Absent / Incomplete / Incorrect,Prepared Dishes & Snacks,Port Health Authority (PHA),,Illegal Import/Export
I-005-166,09/02/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Local Authority,Italy,Microbiological Contamination
I-005-167,08/02/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,RASFF,Poland,Microbiological Contamination
I-005-168,08/02/23,Pesticide Residues,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,India,Pesticides
I-005-169,08/02/23,Labelling Absent / Incomplete / Incorrect,Soups / Broths / Sauces & Condiments,EU Member States,South Korea,Labelling Packaging Error
I-005-170,09/02/23,ALLERGEN: Crustaceans,Prepared Dishes & Snacks,Industry,United Kingdom,Labelling Packaging Error
I-005-171,09/02/23,Poor or Insufficient Controls,Milk & Milk Products,Local Authority,United Kingdom,Unknown
I-005-172,09/02/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Microbiological Contamination
I-005-173,09/02/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Local Authority,United Kingdom,Microbiological Contamination
I-005-174,09/02/23,Poor or Insufficient Controls,Fish & Fish Products,Food Standards Scotland (FSS),Philippines,Illegal Import/Export
I-005-175,09/02/23,ALLERGEN: Eggs,Prepared Dishes & Snacks,Local Authority,Greece,Labelling Packaging Error
I-005-176,09/02/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,EU Member States,United Kingdom,Use of Unauthorised Ingredient
I-005-177,09/02/23,Pathogenic Micro-Organisms,N/A,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-178,10/02/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),RASFF,United Kingdom,Veterinary Medicine
I-005-179,10/02/23,Chemical Contamination (other),Fats & Oils,Local Authority,United Kingdom,Natural Chemical Contamination
I-005-180,13/02/23,ALLERGEN: Cereals containing gluten,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Labelling Packaging Error
I-005-181,13/02/23,Food Additives & Flavourings,Non-Alcoholic Beverages,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-182,11/02/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-183,13/02/23,Heavy Metals,Cereals & Bakery Products,RASFF,Italy,Metals - Other
I-005-184,13/02/23,Foreign Bodies,Fruits & Vegetables,RASFF,Poland,Production Fault
I-005-186,13/02/23,Migration,Food Contact Materials,RASFF,China,Migration of Chemicals
I-005-187,13/02/23,ALLERGEN: Celery,Cereals & Bakery Products,Industry,Netherlands,Labelling Packaging Error
I-005-188,02/02/23,ALLERGEN: Milk,Cereals & Bakery Products,Public Analyst / Laboratory,Ireland,Labelling Packaging Error
I-005-189,01/02/23,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Public Analyst / Laboratory,Ireland,Labelling Packaging Error
I-005-190,14/02/23,Pesticide Residues,Cereals & Bakery Products,Port Health Authority (PHA),India,Pesticides
I-005-191,14/02/23,Pesticide Residues,Cereals & Bakery Products,Port Health Authority (PHA),India,Pesticides
I-005-192,14/02/23,Pesticide Residues,Cereals & Bakery Products,Port Health Authority (PHA),India,Pesticides
I-005-193,14/02/23,Pesticide Residues,Cereals & Bakery Products,Port Health Authority (PHA),India,Pesticides
I-005-194,14/02/23,Foreign Bodies,Prepared Dishes & Snacks,Industry,United Kingdom,Production Fault
I-005-195,14/02/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Industry,United Kingdom,Microbiological Contamination
